family,setting,method,num_seeds,final_acc,final_acc_std,best_acc,best_acc_std,final_loss,final_loss_std,best_loss,best_loss_std,source
MNIST,Label-Sorted,FADAS,10,95.92,0.5996665740225993,96.15,0.6280923498976895,0.13286383590698242,0.019732778082470388,0.1317618469238281,0.020034556540662628,added_baselines
MNIST,Label-Sorted,CA2FL,10,84.2,5.594461546922994,87.85,0.9583840566286608,0.528201953125,0.1314692091594855,0.4584492645263672,0.0359994088262008,added_baselines
MNIST,Label-Sorted,AsyncSGD constant,10,92.34,1.338058294694216,93.49000000000001,0.852584306681744,0.2435602996826172,0.02640698232081248,0.22163045349121094,0.026161888432980562,added_baselines
MNIST,Dirichlet,AsyncSAM+RMS,10,96.79,1.2053630158587094,98.03,0.20024984394501089,0.11667011566162111,0.04822168322954372,0.07119087066650391,0.008320615625554743,mnist_dirichlet
MNIST,Dirichlet,AsyncSGD+RMS,10,87.71000000000001,20.876755016045955,96.97999999999999,0.6660330322138702,3.923562582397461,11.127808998733904,0.1044813678741455,0.019963230071641535,mnist_dirichlet
MNIST,Dirichlet,FedAsync,10,79.72,9.086891657767245,85.89,1.6361234672236684,0.6260688262939453,0.27304105241317106,0.4776435241699219,0.042005244913707294,mnist_dirichlet
MNIST,Dirichlet,FedBuff,10,88.97,3.1263557059298313,91.70000000000002,1.4071247279470254,0.34999007263183585,0.0786056466253819,0.2892354202270508,0.04400317719538315,mnist_dirichlet
MNIST,Dirichlet,FADAS,10,96.3,0.5727128425310528,96.47,0.5235456045083369,0.12189728469848633,0.017471844073570594,0.12102400665283203,0.016762402758961643,added_baselines
MNIST,Dirichlet,CA2FL,10,86.77,1.8563674205285992,88.0,1.1721774609674065,0.44541768798828124,0.0496700170233543,0.4279220642089844,0.034272477018653914,added_baselines
MNIST,Dirichlet,AsyncSGD constant,10,93.16,1.3639648089301994,94.24,1.1001818031580022,0.21962356872558594,0.04782703813896527,0.1984268844604492,0.0355002227912179,added_baselines
MNIST,High Delay,AsyncSAM+RMS,10,98.16999999999999,0.4100000000000004,98.44,0.38000000000000106,0.08309943580627441,0.027086972260725584,0.06582763195037841,0.018082913449175647,mnist_validation
MNIST,High Delay,AsyncSGD+RMS,10,95.16999999999999,2.6799440292662817,97.07000000000001,0.9338629449764019,0.2045167953491211,0.13499948143257287,0.1092975769042969,0.036531784119505334,mnist_validation
MNIST,High Delay,FedAsync,10,89.64,2.491264739043205,90.94000000000001,1.0141005867269788,0.34946789855957033,0.050860774102026544,0.32759838867187496,0.026851061574486853,mnist_validation
MNIST,High Delay,FedBuff,10,92.09,0.8859458222713157,92.51,0.7917701686727006,0.2748854888916016,0.024197071039739296,0.2654285537719726,0.021913249263770432,mnist_validation
MNIST,High Delay,FADAS,10,97.03,0.5900000000000012,97.17999999999999,0.5827520913733392,0.09656880874633789,0.014773345436501493,0.09557216567993164,0.014719054515273063,added_baselines
MNIST,High Delay,CA2FL,10,87.51,2.175982536694635,88.72,1.0107423014794632,0.44237693786621096,0.041619581966621966,0.4247476989746094,0.03216751984829413,added_baselines
MNIST,High Delay,AsyncSGD constant,10,93.92999999999999,1.6056462873248247,94.59,0.7189575787207465,0.20422590332031249,0.04790925192181084,0.1897781768798828,0.018229805089512843,added_baselines
MNIST,20 Workers,AsyncSAM+RMS,10,97.61000000000001,0.7203471385380787,98.01000000000002,0.5356304696336845,0.07503041706085205,0.020392514840175437,0.06729450950622559,0.019107434146823175,mnist_validation
MNIST,20 Workers,AsyncSGD+RMS,10,96.62,1.3563185466548813,97.2,0.7784600182411432,0.11680438995361328,0.040896891800344407,0.09632697792053221,0.027631913398192084,mnist_validation
MNIST,20 Workers,FedAsync,10,81.47,2.3575623003432984,81.51,2.2518658929874125,0.9989013549804688,0.2216967517843229,0.9989013549804688,0.2216967517843229,mnist_validation
MNIST,20 Workers,FedBuff,10,87.19,2.8859833679354407,87.89000000000001,2.978069844714861,0.48504294128417974,0.22365928332175017,0.47491276245117187,0.22679156706832274,mnist_validation
MNIST,20 Workers,FADAS,10,95.33,0.6083584469702048,95.42999999999999,0.5814636704042663,0.1615993148803711,0.0168477466542574,0.16013983154296874,0.016120244583408567,added_baselines
MNIST,20 Workers,CA2FL,10,77.68,4.082107298932748,86.41,1.275499901999213,0.7525418487548828,0.2234169358603153,0.5282671630859375,0.03872700672146479,added_baselines
MNIST,20 Workers,AsyncSGD constant,10,93.28,2.3932404810214916,93.86,1.5583324420674762,0.2288759521484375,0.07394229070616044,0.2134790023803711,0.052897244578397645,added_baselines
CIFAR-10 ResNet18,Base IID,AsyncSAM+RMS,10,92.266,0.46046063892584327,92.33200000000001,0.4613848718802975,0.34440767578125,0.01639721291215321,0.30816511672973634,0.009125825512776424,cifar10_resnet18_validation
CIFAR-10 ResNet18,Base IID,AsyncSGD,10,89.82000000000002,0.24983994876720508,89.963,0.259771053044792,0.44072290466308595,0.019355271685486678,0.3789232196044922,0.010871016779922008,cifar10_resnet18_validation
CIFAR-10 ResNet18,Base IID,FedAsync,10,89.909,0.25296047122030574,90.03599999999999,0.2033322404342197,0.4426056323242188,0.01076390918000625,0.3740243774414062,0.007861625119494191,cifar10_resnet18_validation
CIFAR-10 ResNet18,Base IID,FedBuff,10,88.086,1.2454974909649543,89.14,0.24911844572411757,0.43214677215576175,0.05417427886932611,0.37132361297607425,0.006071306998231472,cifar10_resnet18_validation
CIFAR-10 ResNet18,Base IID,FADAS,10,85.07900000000001,0.8780825701493014,86.0,0.7374550833779656,0.45861219268798825,0.029332589835294368,0.42779714324951174,0.020629272444840346,added_baselines
CIFAR-10 ResNet18,Base IID,CA2FL,10,60.884,3.282411308778957,63.29,1.8409997284084534,1.11168140625,0.11290930956286716,1.0324661492919922,0.05099165750372377,added_baselines
CIFAR-10 ResNet18,Base IID,AsyncSGD constant,10,89.988,0.2508704845134226,90.05199999999999,0.22990432792794424,0.44094944244384765,0.01438166269004726,0.37764201049804685,0.008310391894271019,added_baselines
